#divider:1
[2026-05-28 09:35:05] [CRITICAL] CPU=97.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.4% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.6% | RAM=35.7%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.9% | RAM=35.9%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.2% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.6% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=98.0% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.3% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.6% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.5% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=98.5% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.9% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.9% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.3% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=98.2% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.9% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.5% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.1% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=98.4% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.9% | RAM=35.7%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.4% | RAM=35.9%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.3% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.5% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.2% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.7% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.4% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.0% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.1% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.4% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.1% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.2% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.5% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.2% | RAM=35.7%
[2026-05-28 09:35:05] [WARN] CPU=95.0% | RAM=35.7%
[2026-05-28 09:35:05] [WARN] CPU=94.7% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.9% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.0% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.1% | RAM=35.7%
[2026-05-28 09:35:05] [WARN] CPU=94.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=96.1% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.7% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.2% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.3% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.1% | RAM=35.7%
[2026-05-28 09:35:05] [WARN] CPU=94.7% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.7% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.3% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.1% | RAM=35.7%
[2026-05-28 09:35:05] [WARN] CPU=94.8% | RAM=35.7%
